GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rms-platform,com.mamezou.rms.platform.provider.converter,JsonbErsConfig,42,0,0,0,9,0,2,0,2,0
rms-platform,com.mamezou.rms.platform.provider.converter,LocalDateTimeSerializers.LocaDateTimeDeserializer,15,0,0,0,3,0,2,0,2,0
rms-platform,com.mamezou.rms.platform.provider.converter,ParamErsConverterProvider,20,0,2,0,6,0,3,0,2,0
rms-platform,com.mamezou.rms.platform.provider.converter,LocalDateTimeSerializers.LocalDateTimeSerializer,15,0,0,0,3,0,2,0,2,0
rms-platform,com.mamezou.rms.platform.provider.converter,ParamErsConverterProvider.LocalDateConverter,24,0,2,0,3,0,4,0,3,0
rms-platform,com.mamezou.rms.platform.provider.converter,LocalDateTimeSerializers,16,0,0,0,5,0,3,0,3,0
rms-platform,com.mamezou.rms.platform.provider.converter,RmsTypeParameterFeature,13,0,0,0,4,0,2,0,2,0
rms-platform,com.mamezou.rms.platform.validate,ValidateParamInterceptor.InnerValidatorImpl,31,20,0,0,5,7,5,3,5,3
rms-platform,com.mamezou.rms.platform.validate,ValidateParamInterceptor,3,63,1,7,1,16,1,5,0,2
rms-platform,com.mamezou.rms.platform.jwt,JwtValidateException,0,4,0,0,0,2,0,1,0,1
rms-platform,com.mamezou.rms.platform.jwt,JwtConfig,0,72,0,2,0,12,0,11,0,10
rms-platform,com.mamezou.rms.platform.log,ServerHeaderDumpFilter,88,0,4,0,20,0,8,0,6,0
rms-platform,com.mamezou.rms.platform.log,MpConfigDump,78,14,3,1,14,6,5,3,3,3
rms-platform,com.mamezou.rms.platform.log,MpConfigDump.ContainsForwardMatch,23,0,2,0,6,0,4,0,3,0
rms-platform,com.mamezou.rms.platform.jwt.impl.jose4j,Jose4jJwtGenerator,6,82,0,2,2,21,0,4,0,3
rms-platform,com.mamezou.rms.platform.jwt.impl.jose4j,Jose4jCallerPrincipal,7,21,0,0,1,5,1,3,1,3
rms-platform,com.mamezou.rms.platform.jwt.impl.jose4j,KeyCreators,9,10,0,0,3,2,1,2,1,2
rms-platform,com.mamezou.rms.platform.jwt.impl.jose4j,Jose4PrivateSecretedTokenValidator,0,60,0,0,0,21,0,2,0,2
rms-platform,com.mamezou.rms.platform.extension,ConfiguredCdiBeanBinder,0,102,0,0,0,18,0,11,0,11
rms-platform,com.mamezou.rms.platform.extension,ConfiguredCdiBeanBinder.ConfiguredCdiBeansListBindFinisher,0,138,0,8,0,24,0,8,0,4
rms-platform,com.mamezou.rms.platform.extension,ConfiguredCdiBeanBinder.ConfiguredCdiBeanBindFinisher,0,144,0,4,0,19,0,8,0,6
rms-platform,com.mamezou.rms.platform.extension,ConfiguredCdiBeanBinder.ConfiguredCdiBeansListBinder,0,21,0,0,0,6,0,3,0,3
rms-platform,com.mamezou.rms.platform.extension,ApplicationInitializerCdiExtension,0,86,0,4,0,21,0,7,0,5
rms-platform,com.mamezou.rms.platform.extension,ConfiguredCdiBeanBinder.AliasKey,0,9,0,0,0,4,0,1,0,1
rms-platform,com.mamezou.rms.platform.extension,ConfiguredCdiBean,0,12,0,0,0,4,0,4,0,4
rms-platform,com.mamezou.rms.platform.log.ext,SessionLogBridge,32,0,6,0,15,0,9,0,4,0
rms-platform,com.mamezou.rms.platform.jwt.filter,JwtSecurityRequestFilter,18,80,0,6,4,23,0,7,0,4
rms-platform,com.mamezou.rms.platform.jwt.filter,JwtSecurityFilterFeature,0,13,0,0,0,4,0,2,0,2
rms-platform,com.mamezou.rms.platform.jwt.filter,JwtSupplyResponseFilter,11,60,2,4,4,17,2,4,0,3
rms-platform,com.mamezou.rms.platform.jwt.filter,JwtSecurityContext,7,21,0,0,2,7,2,3,2,3
rms-platform,com.mamezou.rms.platform.config.helidon,HelidonMpConfigFactory,6,69,1,11,1,19,1,9,0,4
rms-platform,com.mamezou.rms.platform.env,MainJarInfo.FindJarMatcher,0,14,0,0,0,4,0,2,0,2
rms-platform,com.mamezou.rms.platform.env,MainJarInfo.MainJarInfoBuilder,12,179,0,10,4,41,0,12,0,7
rms-platform,com.mamezou.rms.platform.env,Environment,4,16,2,2,1,6,3,2,1,2
rms-platform,com.mamezou.rms.platform.env,MainJarInfo,0,62,0,2,0,19,0,10,0,9
rms-platform,com.mamezou.rms.platform.provider.mapper,PageNotFoundExceptionMapper.Unhandle404,21,0,0,0,4,0,3,0,3,0
rms-platform,com.mamezou.rms.platform.provider.mapper,PageNotFoundExceptionMapper,36,0,2,0,7,0,4,0,3,0
rms-platform,com.mamezou.rms.platform.provider.mapper,UnhandledExceptionMapper,25,0,2,0,7,0,4,0,3,0
rms-platform,com.mamezou.rms.platform.config,ResourcePathUnderConfigProvider,6,39,0,0,2,9,0,6,0,6
rms-platform,com.mamezou.rms.platform.config,ExternalPathConfigProvider,0,23,0,4,0,8,0,4,0,2
rms-platform,com.mamezou.rms.platform.config,MpConfigFactory,0,20,0,0,0,4,0,1,0,1
rms-platform,com.mamezou.rms.platform.util,ResourceUtils.TargetFileCollector,0,22,0,2,0,7,0,3,0,2
rms-platform,com.mamezou.rms.platform.util,ResourceUtils,27,215,1,13,9,49,2,20,1,14
rms-platform,com.mamezou.rms.platform.health,MemoryHealthCheck,0,87,0,0,0,23,0,7,0,7
rms-platform,com.mamezou.rms.platform.health,MemoryHealthCheck.EvaluateHolder,0,28,0,0,0,8,0,4,0,4
rms-platform,com.mamezou.rms.platform.health,MemoryEvaluateResource,0,21,0,0,0,5,0,3,0,3
rms-platform,com.mamezou.rms.platform.health,MemoryHealthCheck.MemoryLivenessEvaluator,2,59,2,4,0,7,2,5,0,4
rms-platform,com.mamezou.rms.platform.role,RolesAllowedRequestFilter,0,60,0,4,0,14,0,5,0,3
rms-platform,com.mamezou.rms.platform.role,RoleSecurityDynamicFeature,0,82,0,10,0,24,0,9,0,4
rms-platform,com.mamezou.rms.platform.role,DenyAllRequestFilter,0,19,0,0,0,5,0,3,0,3
